ID;UID_TOMADA;TIPO_POSTO;MUNICIPIO;MORADA;OPERADOR;MOBICHARGER;NIVELTENSAO;TIPO_TARIFARIO;TIPO_TARIFA;TARIFA;TIPO_TOMADA;FORMATO_TOMADA;POTENCIA_TOMADA
ABF-00008;PT-EDP-EABF-00008-1-1;Semirrápido;Albufeira;Cerro da Lagoa;EDP;False;MT;;FLAT;€ 0.261 /charge;MENNEKES;SOCKET;7,4
ABF-00008;PT-EDP-EABF-00008-1-1;Semirrápido;Albufeira;Cerro da Lagoa;EDP;False;MT;;ENERGY;€ 0.1 /kWh;MENNEKES;SOCKET;7,4
ABF-00008;PT-EDP-EABF-00008-1-1;Semirrápido;Albufeira;Cerro da Lagoa;EDP;False;MT;;TIME;€ 0.015 /min;MENNEKES;SOCKET;7,4
ABF-00009;PT-EDP-EABF-00009-1-1;Semirrápido;Albufeira;Vila Gale Cerro Alagoa;EDP;False;MT;;FLAT;€ 0.261 /charge;MENNEKES;SOCKET;7,4
ABF-00009;PT-EDP-EABF-00009-1-1;Semirrápido;Albufeira;Vila Gale Cerro Alagoa;EDP;False;MT;;ENERGY;€ 0.1 /kWh;MENNEKES;SOCKET;7,4
ABF-00009;PT-EDP-EABF-00009-1-1;Semirrápido;Albufeira;Vila Gale Cerro Alagoa;EDP;False;MT;;TIME;€ 0.015 /min;MENNEKES;SOCKET;7,4
ABF-00011;ABF-00011-01-01;Semirrápido;Albufeira;Praia Maria Luísa;BLU;False;BTE;REGULAR;FLAT;€ 0.2608 /charge;MENNEKES;SOCKET;22
ABF-00011;ABF-00011-01-01;Semirrápido;Albufeira;Praia Maria Luísa;BLU;False;BTE;REGULAR;TIME;€ 0.04 /min;MENNEKES;SOCKET;22
ABF-00011;ABF-00011-02-01;Semirrápido;Albufeira;Praia Maria Luísa;BLU;False;BTE;REGULAR;FLAT;€ 0.2608 /charge;MENNEKES;SOCKET;22
ABF-00011;ABF-00011-02-01;Semirrápido;Albufeira;Praia Maria Luísa;BLU;False;BTE;REGULAR;TIME;€ 0.04 /min;MENNEKES;SOCKET;22
ABF-00012;ABF-00012-01-01;Semirrápido;Albufeira;LUGAR VALVERDE - TAVAGUEIRA, GUIA;GLP;False;MT;REGULAR;FLAT;€ 0.2608 /charge;MENNEKES;SOCKET;22
