CEME | CONTRATO,Condicionantes,URL,Data atualização,Data Tarifário,Data Fim Tarifário,Tarifa,Ciclo,Inclui EGME,Inclui IEC,Inclui TAR,Ativacao,Ponta (cTAR),Cheias / Fora de Vazio (cTAR),Vazio (cTAR),Ponta (sTAR),Cheias / Fora de Vazio (sTAR),Vazio (sTAR)
LuziGas Casa,Cliente Doméstico | Indexante mensal (OMIE@58€/MWh),https://www.luzigas.pt/plano-mobilidade-eletrica/,2024-07-07,2024-01-01,,2H,Semanal,False,False,False,0.0,,,,,0.0767,0.0767
Galp Electric Casa,Cliente Doméstico (-16%),https://galp.com/pt/pt/particulares/estrada/cartao-galpelectric-info,2024-05-31,2024-04-01,,2H,Ambos,False,False,True,0.0,,0.2038,0.13,,,
Iberdrola Casa,Cliente Doméstico (-20%),https://www.iberdrola.pt/casa/mobilidade-eletrica/carregar-fora-casa,2024-06-05,2024-07-01,,1H,Nenhum,False,False,True,0.0,,0.2096,0.2096,,,
EDP Casa + UVE,Cliente Doméstico + Associado UVE (-30%),https://www.edp.pt/particulares/servicos/mobilidade-eletrica/carregar-fora-de-casa/,2024-05-31,2024-06-01,,1H,Nenhum,False,False,True,0.0,,0.21,0.21,,,
EDP Casa + UVE (Bi-horário),Cliente Doméstico + Associado UVE (-30%),https://www.edp.pt/particulares/servicos/mobilidade-eletrica/carregar-fora-de-casa/,2024-05-31,2024-06-01,,2H,Nenhum,False,False,True,0.0,,0.2202,0.1562,,,
HighGreenPower,,https://www.highgreenpower.pt/mobilidade-eletrica-setor-publico-mobi-e/,2024-06-19,2024-06-01,,2H,Diário,False,False,False,0.0,,,,,0.1,0.1
Galp Electric,,https://casa.galp.pt/sites/default/files/af_tabelas_precos_e_descontos_galpelectric_web.pdf,2024-05-31,2024-04-01,,2H,Ambos,False,False,True,0.0,,0.2232,0.1424,,,
EDP Charge,Cliente Doméstico + Promoção (-25%),https://www.edp.pt/particulares/servicos/mobilidade-eletrica/carregar-fora-de-casa/,2024-05-31,2024-06-01,,1H,Nenhum,False,False,True,0.0,,0.225,0.225,,,
Cepsa App GOW,App,https://pt.cepsa.com/pt/utilizacao/produtos-servicos/carregamento-eletrico,2024-03-03,2024-01-01,,1H,Nenhum,False,False,True,0.0,,0.23,0.23,,,
eVaz Move Volt / Home,Assinante Volt ou Cliente Doméstico,https://www.evaz.energy/solutions/plans/volt,2024-05-31,2024-06-01,,2H,Ambos,False,False,True,0.0,,0.2328,0.157,,,
EDP Charge (Bi-horário),Cliente Doméstico + Promoção (-25%),https://www.edp.pt/particulares/servicos/mobilidade-eletrica/carregar-fora-de-casa/,2024-05-31,2024-06-01,,2H,Nenhum,False,False,True,0.0,,0.2359,0.1673,,,
