Calendário,Tensão,Tarifa,Id,Ponta,Cheias/Não Vazio,Vazio
2023,MT,3H,2023_MT_3H,0.0044,-0.0999,-0.116
2023,MT,2H,2023_MT_2H,,-0.0772,-0.116
2023,MT,1H,2023_MT_1H,,-0.0772,-0.116
2023,BT,3H,2023_BT_3H,0.0189,-0.0862,-0.1125
2023,BT,2H,2023_BT_2H,,-0.0635,-0.1125
2023,BT,1H,2023_BT_1H,,-0.0635,-0.1125
202307,MT,3H,202307_MT_3H,0.088,-0.0162,-0.0324
202307,MT,2H,202307_MT_2H,,0.0065,-0.0324
202307,MT,1H,202307_MT_1H,,0.0065,-0.0324
202307,BT,3H,202307_BT_3H,0.1025,-0.0025,-0.0289
202307,BT,2H,202307_BT_2H,,0.0202,-0.0289
202307,BT,1H,202307_BT_1H,,0.0202,-0.0289
2024,MT,3H,2024_MT_3H,0.1431,0.0162,0.0076
2024,MT,2H,2024_MT_2H,,0.0432,0.0076
2024,MT,1H,2024_MT_1H,,0.0432,0.0076
2024,BT,3H,2024_BT_3H,0.1791,0.0516,0.0175
2024,BT,2H,2024_BT_2H,,0.078,0.0175
2024,BT,1H,2024_BT_1H,,0.078,0.0175
202406,MT,3H,202406_MT_3H,0.2576,0.0398,0.0161
202406,MT,2H,202406_MT_2H,,0.0857,0.0161
202406,MT,1H,202406_MT_1H,,0.0857,0.0161
202406,BT,3H,202406_BT_3H,0.2936,0.0752,0.026
202406,BT,2H,202406_BT_2H,,0.1205,0.026
202406,BT,1H,202406_BT_1H,,0.1205,0.026
