ID;UID_TOMADA;TIPO_POSTO;MUNICIPIO;MORADA;OPERADOR;MOBICHARGER;NIVELTENSAO;TIPO_TARIFA;TARIFA;TIPO_TOMADA;FORMATO_TOMADA;POTENCIA_TOMADA
ABF-00008;ABF-00008-1-1;Semirrápido;Albufeira;Vila Galé Cerro Alagoa;EDP;False;MT;FLAT;€ 0.261 /charge;MENNEKES;SOCKET;7,4
ABF-00008;ABF-00008-1-1;Semirrápido;Albufeira;Vila Galé Cerro Alagoa;EDP;False;MT;ENERGY;€ 0.1 /kWh;MENNEKES;SOCKET;7,4
ABF-00008;ABF-00008-1-1;Semirrápido;Albufeira;Vila Galé Cerro Alagoa;EDP;False;MT;TIME;€ 0.015 /min;MENNEKES;SOCKET;7,4
ABF-00009;ABF-00009-1-1;Semirrápido;Albufeira;Vila Galé Cerroa Alagoa;EDP;False;MT;FLAT;€ 0.261 /charge;MENNEKES;SOCKET;7,4
ABF-00009;ABF-00009-1-1;Semirrápido;Albufeira;Vila Galé Cerroa Alagoa;EDP;False;MT;ENERGY;€ 0.1 /kWh;MENNEKES;SOCKET;7,4
ABF-00009;ABF-00009-1-1;Semirrápido;Albufeira;Vila Galé Cerroa Alagoa;EDP;False;MT;TIME;€ 0.015 /min;MENNEKES;SOCKET;7,4
ABF-00011;ABF-00011-01-01;Semirrápido;Albufeira;Praia Maria Luísa;BLU;False;BTE;FLAT;€ 0.2608 /charge;MENNEKES;SOCKET;22
ABF-00011;ABF-00011-01-01;Semirrápido;Albufeira;Praia Maria Luísa;BLU;False;BTE;TIME;€ 0.04 /min;MENNEKES;SOCKET;22
ABF-00011;ABF-00011-02-01;Semirrápido;Albufeira;Praia Maria Luísa;BLU;False;BTE;FLAT;€ 0.2608 /charge;MENNEKES;SOCKET;22
ABF-00011;ABF-00011-02-01;Semirrápido;Albufeira;Praia Maria Luísa;BLU;False;BTE;TIME;€ 0.04 /min;MENNEKES;SOCKET;22
ABF-00012;ABF-00012-01-01;Semirrápido;Albufeira;Makro Albufeira;GLP;False;MT;FLAT;€ 0.2608 /charge;MENNEKES;SOCKET;22
ABF-00012;ABF-00012-01-01;Semirrápido;Albufeira;Makro Albufeira;GLP;False;MT;TIME;€ 0.039 /min;MENNEKES;SOCKET;22
ABF-00012;ABF-00012-02-01;Semirrápido;Albufeira;Makro Albufeira;GLP;False;MT;FLAT;€ 0.2608 /charge;MENNEKES;SOCKET;22
ABF-00012;ABF-00012-02-01;Semirrápido;Albufeira;Makro Albufeira;GLP;False;MT;TIME;€ 0.039 /min;MENNEKES;SOCKET;22
ABF-00013;ABF-00013-01-01;Semirrápido;Albufeira;Makro Albufeira;GLP;False;MT;FLAT;€ 0.2608 /charge;MENNEKES;SOCKET;22
ABF-00013;ABF-00013-01-01;Semirrápido;Albufeira;Makro Albufeira;GLP;False;MT;TIME;€ 0.039 /min;MENNEKES;SOCKET;22
ABF-00013;ABF-00013-02-01;Semirrápido;Albufeira;Makro Albufeira;GLP;False;MT;FLAT;€ 0.2608 /charge;MENNEKES;SOCKET;22
